Order ID,Customer Name,Food Item,Category,Quantity,Price,Payment Method,Order Time,Sales Amount
1055,David Gutierrez,Ice Cream,Dessert,5,3.97,Online Payment,1/8/2025 22:56,19.85
1057,Hannah Brown,Soup,Starter,5,5.12,Credit Card,4/8/2025 3:59,25.6
1066,Melissa Duncan,Fries,Starter,2,22.97,Debit Card,7/6/2025 8:10,45.94
1084,Eric Nguyen,Pizza,Main,4,22.41,Online Payment,3/24/2025 1:48,89.64
1088,Carol Lynch,Ice Cream,Dessert,1,14.82,Cash,4/12/2025 10:21,14.82
1177,Janice Sanchez,Soup,Starter,5,2.44,Cash,4/7/2025 13:48,12.2
1202,Brandy Smith,Pasta,Main,2,8.54,Credit Card,8/3/2025 23:47,17.08
1239,Erica Sutton,Fries,Starter,3,17.61,Cash,3/23/2025 0:51,52.83
1239,Erica Sutton,Pizza,Main,1,19.62,Online Payment,4/29/2025 19:17,19.62
1270,Christopher Noble,Brownie,Dessert,2,4.1,Cash,6/17/2025 20:57,8.2
1272,Michael Matthews,Pasta,Main,5,2.2,Online Payment,5/15/2025 12:43,11
1278,Kevin Gonzalez,Salad,Starter,3,8.7,Cash,4/5/2025 12:33,26.1
1239,Erica Sutton,Burger,Main,3,16.3,Online Payment,3/1/2025 23:54,48.9
1326,Shane Garcia,Pizza,Main,3,21.3,Online Payment,3/31/2025 19:58,63.9
1329,Monique Gonzalez,Burger,Main,1,20.63,Cash,1/1/2025 1:36,20.63
1383,Elaine Wong,Cake,Dessert,2,23.5,Online Payment,6/12/2025 22:00,47
1388,David Robinson,Cake,Dessert,4,22.78,Cash,6/13/2025 15:22,91.12
1402,Heather Russell,Brownie,Dessert,4,15.75,Credit Card,3/12/2025 14:07,63
1402,Heather Russell,Ice Cream,Dessert,3,24.52,Debit Card,7/10/2025 19:21,73.56
1430,James Jones,Soup,Starter,1,17.38,Credit Card,6/9/2025 9:53,17.38
1402,Heather Russell,Brownie,Dessert,5,7.94,Debit Card,4/14/2025 2:26,39.7
1486,Elizabeth Contreras,Fries,Starter,3,15.77,Debit Card,7/11/2025 7:28,47.31
1402,Heather Russell,Ice Cream,Dessert,4,10,Cash,1/2/2025 15:46,40
1496,David Ellis,Fries,Starter,5,20.81,Credit Card,5/27/2025 19:58,104.05
1402, Heather Russell,Ice Cream,Dessert,2,18.86,Online Payment,8/9/2025 5:11,37.72
1510,Amanda Waters,Fries,Starter,5,7.5,Debit Card,4/10/2025 7:42,37.5
1510,Amanda Waters,Salad,Starter,2,18.47,Credit Card,7/8/2025 16:06,36.94
1587,Matthew Miles,Brownie,Dessert,5,7.39,Credit Card,4/12/2025 5:49,36.95
1510, Amanda Waters,Cake,Dessert,5,19.21,Cash,4/27/2025 8:08,96.05
1616,Bruce Chambers,Cake,Dessert,2,16.45,Credit Card,5/3/2025 14:33,32.9
1681,Tabitha Bernard,Pasta,Main,2,14.85,Debit Card,8/11/2025 18:18,29.7
1684,Logan Maddox,Cake,Dessert,3,5.18,Debit Card,1/27/2025 14:30,15.54
1708,Daniel Flores,Burger,Main,1,8.13,Online Payment,4/29/2025 9:53,8.13
1770,Randall Decker,Brownie,Dessert,1,20.5,Online Payment,3/29/2025 5:22,20.5
1792,Michael Valentine,Ice Cream,Dessert,4,7.15,Debit Card,5/13/2025 7:01,28.6
1812,Dr. James Garza,Burger,Main,4,22.68,Cash,7/27/2025 21:00,90.72
1815,Veronica Pitts,Brownie,Dessert,1,16.84,Online Payment,5/22/2025 14:10,16.84
1812,Dr. James Garza,Brownie,Dessert,3,21.93,Cash,4/9/2025 19:56,65.79
1868,Joseph Butler,Pizza,Main,4,11.07,Credit Card,2/12/2025 6:26,44.28
1812,Dr. James Garza,Pizza,Main,2,24.7,Debit Card,4/30/2025 21:17,49.4
1909,Jonathan Smith,Soup,Starter,4,16.89,Credit Card,2/21/2025 23:08,67.56
1909,Jonathan Smith,Burger,Main,1,7.43,Credit Card,8/10/2025 0:07,7.43
1812,Dr. James Garza,Pizza,Main,1,12.15,Online Payment,4/29/2025 10:32,12.15
1955,Derek Young,Cake,Dessert,2,8.64,Online Payment,5/11/2025 21:18,17.28
1909,Jonathan Smith,Soup,Starter,3,9.86,Cash,1/28/2025 8:49,29.58
2013,Morgan Simmons,Burger,Main,4,9.02,Debit Card,4/13/2025 21:22,36.08
2035,James Morgan,Pasta,Main,5,12.83,Credit Card,3/6/2025 3:34,64.15
2047,Miguel Mendoza,Ice Cream,Dessert,2,4.24,Credit Card,5/5/2025 4:18,8.48
2065,Jade Gilbert,Burger,Main,4,19.86,Online Payment,1/2/2025 10:36,79.44
2085,Karen Sullivan,Salad,Starter,5,6.46,Debit Card,6/6/2025 22:35,32.3
2110,Tracey Perez,Soup,Starter,1,20,Cash,5/21/2025 21:54,20
2121,Lori James,Burger,Main,1,22.48,Online Payment,6/17/2025 13:26,22.48
